name,AP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
BM25_Precomputed,0.6253933333333299,0.5697,0.14242000000001867,0.07121000000000934,0.7121,0.7121,0.6471496609208061,0.6471496609208061
TF-IDF_Precomputed,0.6254633333333297,0.57,0.14248000000001868,0.07124000000000934,0.7124,0.7124,0.6472570758630803,0.6472570758630803
BM25_QueryExpansion_histwords_Precomputed,0.5708399999999967,0.512,0.13292000000001652,0.06646000000000826,0.6646,0.6646,0.5943204472902301,0.5943204472902301
