name,AP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
MonoT5_Reranked_Context,0.6331499999999988,0.6061,0.1333000000000166,0.0666500000000083,0.6665,0.6665,0.6417335847732182,0.6417335847732182
MonoT5_Reranked_RawOCR,0.5783499999999989,0.5363,0.126260000000015,0.0631300000000075,0.6313,0.6313,0.5919569236475046,0.5919569236475046
